,id,host_id,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,nightly_price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,number_of_stays,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,date_host_since,date_first_review,date_last_review
1,17138468,79755951,,,False,La Jolla,1,True,False,La Jolla,Apartment,Entire home/apt,1,2.0,2,3,1400.0,,,1,30,1125,2,4,100,10,10,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2016-06-24,2017-04-22,2017-08-31
4,1756516,3634860,within a day,67.0,False,La Jolla,6,True,True,La Jolla,Condominium,Private room,1,1.0,1,1,110.0,200.0,,1,180,365,2,4,90,7,7,8,8,9,10,False,False,False,strict_14_with_grace_period,False,False,2012-09-21,2015-02-22,2018-09-23
10,13617732,78843085,within a few hours,100.0,False,Black Mountain Ranch,1,True,False,Black Mountain Ranch,Bungalow,Entire home/apt,1,1.0,1,1,75.0,1200.0,100.0,1,90,1125,3,6,93,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2016-06-20,2016-10-10,2017-05-27
12,9157496,11028455,within a day,100.0,False,Pacific Beach,1,True,True,Pacific Beach,House,Private room,1,1.0,1,1,75.0,200.0,50.0,1,60,365,27,54,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2014-01-05,2015-11-19,2018-07-02
13,10193983,52360468,within a day,100.0,True,Pacific Beach,1,True,True,Pacific Beach,Condominium,Entire home/apt,1,1.0,0,1,65.0,150.0,,1,60,1125,12,24,97,10,10,10,10,10,10,False,False,False,moderate,False,False,2015-12-26,2016-02-21,2019-05-12
14,19475019,136632243,,,False,North Park,1,True,False,North Park,Apartment,Private room,1,1.0,1,1,127.0,200.0,50.0,1,30,1125,5,10,100,10,10,10,10,10,10,False,True,False,moderate,False,False,2017-06-23,2017-07-22,2019-02-08
16,482741,1809198,within a few hours,100.0,False,,1,True,False,University Heights,Apartment,Private room,1,1.0,1,1,38.0,200.0,60.0,1,90,365,17,34,94,10,9,10,10,10,9,False,True,False,strict_14_with_grace_period,False,False,2012-02-25,2012-06-25,2019-06-24
19,6900465,13643691,a few days or more,0.0,False,Midtown,2,True,True,Midtown,Townhouse,Private room,1,2.5,1,1,99.0,500.0,50.0,1,30,1125,7,14,97,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2014-03-28,2015-08-03,2017-06-09
20,22773314,6934650,within an hour,100.0,False,Midtown,7,True,True,Ocean Beach,Bungalow,Entire home/apt,1,1.0,0,1,95.0,200.0,120.0,1,30,365,1,2,80,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2013-06-16,2018-02-05,2018-02-05
21,5086710,26276925,within an hour,100.0,True,Pacific Beach,2,True,True,Pacific Beach,Apartment,Entire home/apt,1,1.0,1,1,90.0,300.0,65.0,1,31,1125,17,34,99,10,10,10,10,10,9,False,False,False,strict_14_with_grace_period,False,False,2015-01-18,2015-06-01,2019-08-01
